개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3230000,323000001020010004,20010215,,03,폐업,0002,폐업,20071005,,,,403-0222,0,,서울특별시 송파구 가락동 49-3번지 ,서울특별시 송파구 송이로 95 (가락동),,밍키종합동물병원,20150729170134,I,2018-08-31 23:59:59.0,,210649.574428192    ,443956.992699821    ,동물병원,,,000,
3230000,323000001020010005,20010305,,03,폐업,0002,폐업,20070809,,,,416-8875,47.79,,서울특별시 송파구 방이동 136-13번지 ,서울특별시 송파구 가락로 259 (방이동),,방이동물병원,20150731105135,I,2018-08-31 23:59:59.0,,210413.194501406    ,445439.810176902    ,동물병원,,,000,
3230000,323000001020010006,20010529,,03,폐업,0002,폐업,20080110,,,,419-8275,0,,서울특별시 송파구 삼전동 48-10번지 ,서울특별시 송파구 백제고분로 214 (삼전동),,건국동물병원,20150728165801,I,2018-08-31 23:59:59.0,,207914.786189844    ,444584.647018072    ,동물병원,,,000,
3230000,323000001020010007,20010706,,03,폐업,0002,폐업,20110706,,,,400-7582,0,,서울특별시 송파구 가락동 125-8번지 ,서울특별시 송파구 송이로 171 (가락동),,봄빛동물병원,20150729170840,I,2018-08-31 23:59:59.0,,211082.480335037    ,443326.359340829    ,동물병원,,,000,
3230000,323000001020010008,20011105,,03,폐업,0002,폐업,20110628,,,,416-8070,0,,,서울특별시 송파구 오금로 168 (송파동),05662,강남종합동물병원,20150731110252,I,2018-08-31 23:59:59.0,,209918.583080726    ,445270.497368313    ,동물병원,,,000,
3230000,323000001020010010,20020114,,03,폐업,0002,폐업,20030213,,,,4004633,0,,서울특별시 송파구 방이동 89-5번지 G상가105호 ,서울특별시 송파구 강동대로 320 (방이동,G상가105호),,올림픽동물병원,20030326100828,I,2018-08-31 23:59:59.0,,212327.8926835      ,446210.663123865    ,동물병원,,,000,
3230000,323000001020020001,20020215,,01,영업/정상,0000,정상,,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),05734,동물의왕국동물병원,20190502163518,U,2019-05-04 02:40:00.0,,212868.812454154    ,444025.540493315    ,동물병원,,,000,
3230000,323000001020020002,20020318,,03,폐업,0002,폐업,20021111,,,,4047582,0,,서울특별시 송파구 가락동 101-1번지 ,,,훼밀리동물병원,20150730201528,I,2018-08-31 23:59:59.0,,210600.11492768     ,443166.621778007    ,동물병원,,,000,
3230000,323000001020020003,20020501,,01,영업/정상,0000,정상,,,,,449-0101,0,,서울특별시 송파구 오금동 17-2번지 우일빌딩 ,서울특별시 송파구 마천로5길 16, 우일빌딩 (오금동),05657,늘푸른동물병원,20190502163356,U,2019-05-04 02:40:00.0,,211178.183227105    ,445262.746389068    ,동물병원,,,000,
3230000,323000001020020004,20020506,,03,폐업,0002,폐업,20081126,,,,449-7580,0,,서울특별시 송파구 가락동 137-3번지 ,,,메디칼동물병원,20150728181114,I,2018-08-31 23:59:59.0,,211262.994857358    ,443408.278406299    ,동물병원,,,000,
3230000,323000001020020005,20020508,,03,폐업,0002,폐업,20111116,,,,412-0098,0,,서울특별시 송파구 잠실동 228-10번지 ,서울특별시 송파구 백제고분로 131 (잠실동),,팔라스동물병원,20150731173758,I,2018-08-31 23:59:59.0,,207154.999826048    ,444910.897363304    ,동물병원,,,000,
3230000,323000001020020006,20020726,,03,폐업,0002,폐업,20170403,,,,2202-3633,0,,,서울특별시 송파구 송파대로 451 (석촌동),05609,닥터제이동물병원,20170403153342,I,2018-08-31 23:59:59.0,,209259.359221441    ,444929.159276105    ,동물병원,,,000,
3230000,323000001020020007,20020916,,01,영업/정상,0000,정상,,,,,02-419-1351,0,,서울특별시 송파구 삼전동 5-3 남관빌딩,서울특별시 송파구 삼전로 80, 남관빌딩 (삼전동),05606,25시동물의료센터,20220819083630,U,2021-12-07 22:01:00.0,,207835.267975002,444818.136471765,,,,,
3230000,323000001020020008,20020916,,01,영업/정상,0000,정상,,,,,415-7585,0,,서울특별시 송파구 송파동 96-6번지 창영빌딩 ,서울특별시 송파구 송파대로 388, 창영빌딩 (송파동),05668,잠실종합동물병원,20190429171238,U,2019-05-01 02:40:00.0,,209676.418724217    ,444469.52835088     ,동물병원,,,000,
3230000,323000001020020009,20021016,,03,폐업,0002,폐업,20090320,,,,449-8575,0,,서울특별시 송파구 마천동 576번지 우방아파트상가 ,서울특별시 송파구 성내천로 211 (마천동,우방아파트상가),,메디펫동물병원,20150729165646,I,2018-08-31 23:59:59.0,,213374.482750903    ,444245.235268426    ,동물병원,,,000,
3230000,323000001020030001,20030121,,01,영업/정상,0000,정상,,,,,400-0075,0,,서울특별시 송파구 문정동 150-2번지 문정프라자 ,서울특별시 송파구 중대로 80, 문정프라자 (문정동),05833,펫가든동물병원,20190306143851,U,2019-03-08 02:40:00.0,,210343.699256005    ,443288.284974717    ,동물병원,,,000,
3230000,323000001020030002,20030214,,03,폐업,0002,폐업,20121018,,,,400-4633,0,,,서울특별시 송파구 강동대로 300 (방이동),05649,오즈동물병원,20150731112241,I,2018-08-31 23:59:59.0,,212138.113381365    ,446315.752490531    ,동물병원,,,000,
3230000,323000001020030003,20030218,,03,폐업,0002,폐업,20030605,,,,413-7119,0,,서울특별시 송파구 방이동 114-5번지 ,서울특별시 송파구 오금로 169 (방이동),,페미페츠동물병원,20150730200420,I,2018-08-31 23:59:59.0,,209966.384911558    ,445301.767746638    ,동물병원,,,000,
3230000,323000001020030004,20030410,,03,폐업,0002,폐업,20150331,,,,423-2075,33.4,,,서울특별시 송파구 올림픽로35길 124 (신천동),05504,늘푸른동물병원,20150731110548,I,2018-08-31 23:59:59.0,,208707.089897534    ,446299.352775446    ,동물병원,,,000,
3230000,323000001020030005,20030425,,03,폐업,0002,폐업,20040309,,,,416-0126,33,,서울특별시 송파구 송파동 89-4번지 ,,,바울동물병원,20150729170300,I,2018-08-31 23:59:59.0,,209567.180001638    ,444619.884666112    ,동물병원,,,000,
3230000,323000001020030006,20030507,,01,영업/정상,0000,정상,,,,,402-9119,0,,서울특별시 송파구 오금동 3번지 ,서울특별시 송파구 위례성대로 178 (오금동),,준동물병원,20030507175830,I,2018-08-31 23:59:59.0,,211484.290827004    ,445340.765258539    ,동물병원,,,,
