순번,제조업체명,사료구분,생산사료명,생산능력_톤,등록일자,영업_상태
335,태성무역,배합(수입),"양식용 수산동물(민물장어, 광어, 우럭) 사료",0,2021-04-14,정상
336,미쁜아토,단미,혼합성단미사료. 기타동물성단백질류,0.03,2021-04-23,정상
337,펫브로,단미,"혼합성단미사료, 기타동물성단백질류",0.2,2021-04-27,정상
338,반수식,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-04-29,정상
339,초롱이네,단미,"혼합성단미사료, 기타동물성단백질류,낙농가공부산물류",0.003,2021-04-29,정상
340,다사랑수산,단미(수입),장구벌레,0,2021-04-29,정상
341,동광테크,단미(수입),연맥건초,0,2021-05-10,정상
342,멍전부리,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-05-12,정상
343,"펫,멜로우(P,mellow)",단미,"혼합성단미사료, 기타동물성단백질류",0.003,2021-05-13,정상
344,멍멍잇,단미,혼합성단미사료,0.01,2021-05-17,정상
345,루다네 까까,단미,"혼합성단미사료, 기타동물성단백질류",0.002,2021-05-17,정상
346,꽃길만걷개,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-05-27,정상
347,주식회사 지노글로벌,단미(수입),캐슈너트피,0,2021-06-04,정상
348,펫솔컴퍼니,보조(수입),향미제(과당),0,2021-06-07,정상
349,주식회사 코리아에프앤에프,단미(수입),어분,0,2021-06-09,정상
350,나댕디,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-06-11,정상
351,먹고가개,단미,"혼합성단미사료, 기타동물성단백질류",0.005,2021-06-15,정상
352,두몽언니,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-06-16,정상
353,덕도그,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-06-22,정상
354,우다당,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-06-25,정상
355,(주)에스엠로지스틱스,단미,"혼합성단미사료, 기타동물성단백질류, 채소류, 견과종실류",0.04,2021-06-28,정상
356,잇츠얌,단미,혼합성단미사료,0.01,2021-07-02,정상
357,yam p,단미,"혼합성단미사료, 기타동물성단백질류",0.004,2021-07-02,정상
358,댕킷,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-07-12,정상
359,(주)한국수산방역기술,보조,혼합성 보조사료,0.03,2021-07-19,정상
360,아띠랑스,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-07-22,정상
361,독(DOG)도,단미,"혼합성단미사료, 기타동물성단백질류",0.05,2021-07-27,정상
362,주식회사 한나코퍼레이션,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-07-27,정상
363,댕수저,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-07-30,정상
364,Modern Puppy(모던퍼피),단미(수입),혼합성단미사료,0,2021-08-11,정상
365,주식회사 나랑드,단미,단미사료혼합제/동물성단백질류,0.05,2021-08-13,정상
366,주식회사 유니컴퍼니,단미(수입),혼합성단미사료,0,2021-08-23,정상
367,러빗댕댕,단미,혼합성 혼합제,0.01,2021-08-24,정상
368,두세네몽,단미,"혼합성 혼합제, 동물성단백질류",0.01,2021-08-27,정상
369,Rex's Yummy(코리하우스),단미,혼합성 혼합제,0.1,2021-09-01,정상
370,멍하니 반하다,단미,동물성 단백질/혼합성 혼합제,0.1,2021-09-01,정상
371,꿀비공방,단미,혼합성 혼합제,0.01,2021-09-10,정상
372,주식회사 앤즈글로벌,배합(수입),배합사료(애완동물용),0,2021-09-28,정상
373,개스토랑,단미,단미사료/혼합성-혼합제,0.005,2021-10-08,정상
374,지더블유티(G),단미,동물성 단백질류/혼합성 혼합제,0.5,2021-10-14,정상
375,달의 하루,단미,동물성 단백질/혼합성 혼합제,0.05,2021-10-21,정상
376,포유베이커리,단미,"혼합성단미사료, 동물성 단백질",0.1,2021-10-26,정상
377,뚜드림 부산점,단미,혼합성 혼합제/동물성 단백질,0.004,2021-11-08,정상
378,주식회사 아이비에스,배합(수입),배합사료(애완동물용),0,2021-11-18,정상
379,고메네 수제간식,단미,혼합성 혼합제 / 동물성 단백질료,0.01,2021-11-18,정상
380,데이무무,단미,"혼합성 혼합제, 동물성 단백질",0.1,2021-11-24,정상
381,끼리까까,단미,혼합성 단미사료/동물성단백질류,0.1,2021-11-30,정상
382,견공상회,단미,,0.1,2021-12-02,정상
383,마드레펫,배합,그밖의 동물·어류 등 배합사료,0.1,2021-12-02,정상
384,얌얌프렌즈,단미,혼합성 혼합제/동물성 단백질,0.001,2021-12-03,정상
385,성진파텍,단미(수입),단미사료,0,2021-12-03,정상
386,주식회사 팻츠팸,배합(수입),배합사료,0,2021-12-03,정상
387,프랑테리 펫푸드,단미,혼합성 혼합제,0.01,2021-12-08,정상
388,디어 마이 프렌즈,단미,"혼합성 혼합제, 동물성 단백질",0.05,2021-12-08,정상
389,(주)케이티아이 중앙동지점,단미(수입),단미사료(수입),0,2021-12-08,정상
390,까까로운,단미,"혼합성 혼합제, 동물성단백질",0.01,2021-12-20,정상
391,웰에코텍,보조,"미생물제 유익균, 미생물제 합제",0.08,2022-01-05,정상
392,강아지의 하루,단미,"혼합성 혼합제, 동물성단백질류",0.01,2022-01-06,정상
393,댕쓰마켓,단미,"동물성 단백질류, 혼합성 혼합제",0.01,2022-01-12,정상
394,원두네 멍냥백서,단미,"동물성 단백질류, 혼합성 혼합제",0.5,2022-01-20,정상
395,국민연어,단미,동물성 단백질류,0.05,2022-01-26,정상
396,맛있개도냠냠,단미,단미사료(혼합성-혼합제),0.007,2022-02-28,정상
397,댕댕크루,단미,,0.01,2022-03-08,정상
398,몽펫푸드,단미,혼합성 혼합제 / 동불성 단백질류,0.01,2022-03-16,정상
399,카페훈트,단미,혼합성 단미사료,0.01,2022-03-17,정상
400,탄탄펫푸드,단미,혼합성 혼합제 / 동물성 단백질류,0.01,2022-03-17,정상
401,마댕렌,단미,혼합성 혼합제,0.05,2022-03-21,정상
402,댕냥이키친,단미,혼합성 혼합제,0.002,2022-03-21,정상
403,몽베베까까,단미,혼합성단미사료,0.01,2022-03-23,정상
404,특별하개,단미,,0.05,2022-03-28,정상
405,CK트레이딩,배합(수입),,0,2022-03-29,정상
407,사이먹다,단미,,0.01,2022-03-29,정상
408,댕구름,단미,,0.01,2022-04-04,정상
409,펫잇보리,단미,,0.02,2022-04-08,정상
410,오도독뽀도독,단미,혼합성단미사료,0.01,2022-04-22,정상
411,인누온,단미,혼합성단미사료,0.01,2022-04-22,정상
412,견생제과점,단미,"혼합성 단미사료, 동물성 단백질",0.01,2022-05-03,정상
413,설이네 펫푸드,단미,"동물성단백질, 혼합성단미사료",0.002,2022-05-06,정상
414,DOGRANG,단미,"혼합성 혼합제, 동물성 단백질류",0.01,2022-05-10,정상
415,올댓멍즈,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2022-05-13,정상
416,FLUO,단미,혼합성 단미사료,0.1,2022-05-16,정상
417,마벨펫푸드,단미,"혼합성혼합제, 동물성단백질류",0.01,2022-05-18,정상
418,댕댕이라이프,단미,"혼합성혼합제, 동물성단백질류",0.004,2022-05-20,정상
419,(주)재인,단미(수입),,0,2022-06-09,정상
420,로힌(rohin),단미,"단미사료(혼합성혼합제, 동물성단백질)",0.01,2022-06-11,정상
421,동원글로벌,단미(수입),,0,2022-06-13,정상
422,다곰스(DaGoms,단미,"혼합성단미사료, 동물성단백질",0.01,2022-06-21,정상
423,럭투밋(Lucky to meet U),단미,"혼합성단미사료, 동물성단백질류",0.08,2022-06-24,정상
424,주식회사 우진바이오테크,단미(수입),,0,2022-07-08,정상
425,디어뭉치,단미,"혼합성단미사료, 동물성단백질류",0.01,2022-07-16,정상
426,율무상점,단미,혼합성단미사료 등,0.01,2022-07-22,정상
427,에스엔알(SNR),단미(수입),,0,2022-07-27,정상
428,주식회사 성정티앤티,단미(수입),,0,2022-08-08,정상
429,스윗윈디,단미,"혼합성단미사료, 동물성 단백질류",0.01,2022-08-16,정상
430,주식회사 엠플,단미(수입),,0,2022-08-17,정상
431,구운멍푸드,단미,"동물성 단백질류, 혼합성 혼합제",0.08,2022-08-29,정상
432,아이유리,단미,혼합성 혼합제,0.1,2022-09-14,정상
433,아성쇼핑몰,보조(수입),,0,2022-10-05,
434,어뇽어뇽,단미,혼합성 혼합제,0.2,2022-10-12,
435,가온길,단미,식물성 과채류,1,2022-10-12,
