순번,사업장명칭,소재지주소(도로명),위도,경도
78,우리집강아지,"인천광역시 연수구 컨벤시아대로 70, 302동 1층 115,116호 (송도동, 인천송도힐스테이트)",37.396873 ,126.650068 
79,지엔밸류홀딩스 주식회사,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 A동 1809호 (송도동)",37.366466 ,126.648429 
80,송도 종합 동물병원,"인천광역시 연수구 한나루로 185, 청학만신당 (옥련동)",37.426047 ,126.656243 
81,바로나도(송도점),"인천광역시 연수구 송도과학로16번길 33-3, 송도 트리플스트리트 B동 302호 (송도동)",37.378451 ,126.663718 
82,밀레주,"인천광역시 연수구 송도국제대로 165, 홈플러스 복합쇼핑몰(송도점) 1층 (송도동)",37.380364 ,126.656312 
83,개편한세상,인천광역시 연수구 샘말로62번길 19 (연수동),37.413334 ,126.680742 
84,행복한 강아지,"인천광역시 연수구 새말로 103, 103호 (연수동)",37.418582 ,126.680774 
85,아소비 퍼피스,"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 301동 5층 513호 (송도동)",37.400030 ,126.637903 
86,아띠숑,"인천광역시 연수구 송도문화로28번길 28, 205동 115호 (송도동, 송도글로벌캠퍼스푸르지오)",37.376661 ,126.653793 
87,꼼꼼 애견미용실,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 201동 1층 126호 (송도동)",37.400030 ,126.637903 
88,도그트리,"인천광역시 연수구 한나루로 160, 1층 4호 (옥련동)",37.423485 ,126.652804 
89,강아지봄,"인천광역시 연수구 신송로82번길 6, 상가동 101-2호 (송도동, 송도풍림아이원4단지아파트)",37.393282 ,126.657478 
90,블레스 펫,"인천광역시 연수구 인천타워대로132번길 30, 휴먼빌파크 106호 (송도동)",37.390558 ,126.636717 
91,포미네,"인천광역시 연수구 아트센터대로97번길 30, 1604동 2403호 (송도동, 더샵그린워크1차)",37.401751 ,126.640457 
92,예쁘개# 애견미용실,"인천광역시 연수구 능허대로79번길 30, 제일반상가동 209호 (옥련동, 럭키송도아파트)",37.424497 ,126.642814 
93,88 개발소,"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 302동 166호 (송도동)",37.400030 ,126.637903 
94,고양이자리,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 201-1호 (연수동)",37.413384 ,126.676506 
95,아름다운동물병원,"인천광역시 연수구 해돋이로 114, 서운프라자 2층 (송도동)",37.392069 ,126.649915 
96,"아름다운동물병원(이쁘개, 아름답게)","인천광역시 연수구 해돋이로 114, 서운프라자 2층 (송도동)",37.392069 ,126.649915 
97,송도 24시 오케이동물병원,"인천광역시 연수구 랜드마크로 68, 261~265호 (송도동, 랜드마크시티센트럴더샵)",37.414660 ,126.621432 
98,놀러들오개,"인천광역시 연수구 한나루로 87, 5층 (옥련동)",37.422537 ,126.647430 
99,댕이랑,"인천광역시 연수구 센트럴로 194, C동 105호 (송도동, 더샵 센트럴파크2)",37.394467 ,126.641007 
