등록번호,영업종류,영업장명칭,지번주소,도로명주소
5350000-047-2018-0095,동물전시업,개리비안 비치,경상남도 김해시 대동면 초정리 346-5 ,경상남도 김해시 대동면 대동로 536-19
5350000-047-2020-0026,동물전시업,웰컴댕댕,경상남도 김해시 대청동 71-9 엔플러스투빌딩 ,"경상남도 김해시 번화1로68번길 19, 엔플러스투빌딩 10층 (대청동)"
5350000-047-2020-0050,동물전시업,세븐카페,경상남도 김해시 대청동 800-11 ,"경상남도 김해시 금관대로 187, 1층 (대청동)"
5350000-047-2021-0012,동물전시업,라라퍼피,경상남도 김해시 부원동 171-7 ,"경상남도 김해시 김해대로 2433, 2층 (부원동)"
5350000-047-2021-0037,동물전시업,퍼피가든,경상남도 김해시 대청동 61-6 다인메디컬센타 ,"경상남도 김해시 번화1로79번길 4, 다인메디컬센타 101-2호 (대청동)"
5350000-048-2018-0003,동물위탁관리업,댕포유,경상남도 김해시 내동 1144-3 ,"경상남도 김해시 내외중앙로 60, 13층 (내동)"
5350000-048-2018-0005,동물위탁관리업,퍼스트독,경상남도 김해시 서상동 331-2 ,경상남도 김해시 분성로 290 (서상동)
5350000-048-2018-0009,동물위탁관리업,어여쁘개,경상남도 김해시 어방동 331-6 ,경상남도 김해시 활천로166번길 33 (어방동)
5350000-048-2018-0021,동물위탁관리업,품이네 애견방,경상남도 김해시 부곡동 805-1 월산마을주공11단지아파트상가 103호,"경상남도 김해시 월산로 101, 월산마을주공11단지아파트상가 103호 (부곡동)"
5350000-048-2018-0028,동물위탁관리업,강아지 미용실,경상남도 김해시 외동 1212-3 ,경상남도 김해시 함박로 16 (외동)
5350000-048-2018-0040,동물위탁관리업,펫존애견할인마트,경상남도 김해시 율하동 1372-5 ,경상남도 김해시 율하2로 248 (율하동)
5350000-048-2018-0044,동물위탁관리업,진영조은동물병원,경상남도 김해시 진영읍 여래리 970 ,"경상남도 김해시 진영읍 본산로 9, 우리마트 3층"
5350000-048-2018-0051,동물위탁관리업,땡큐멍멍,경상남도 김해시 관동동 1110-12 ,"경상남도 김해시 율하3로91번길 6-9, 102호 (관동동)"
5350000-048-2018-0068,동물위탁관리업,멍바라기,경상남도 김해시 삼정동 117-2 ,경상남도 김해시 활천로36번길 67-1 (삼정동)
5350000-048-2018-0076,동물위탁관리업,메리몰 펫샵,경상남도 김해시 삼방동 184-3 ,경상남도 김해시 삼안로195번길 25 (삼방동)
5350000-048-2018-0081,동물위탁관리업,멍블링,경상남도 김해시 부곡동 1163-5 유성빌딩 ,"경상남도 김해시 월산로 13-11, 유성빌딩 (부곡동)"
5350000-048-2018-0083,동물위탁관리업,도그타운,경상남도 김해시 진영읍 진영리 1604-1 ,경상남도 김해시 진영읍 김해대로349번길 4-2
5350000-048-2018-0085,동물위탁관리업,라임 동물병원,경상남도 김해시 진영읍 진영리 1612-6 ,경상남도 김해시 진영읍 김해대로361번길 8
5350000-048-2018-0094,동물위탁관리업,발라당 강아지,경상남도 김해시 관동동 1113-5 ,경상남도 김해시 관동로 125 (관동동)
5350000-048-2018-0096,동물위탁관리업,개리비안 비치,경상남도 김해시 대동면 초정리 346-5 ,경상남도 김해시 대동면 대동로 536-19
